entry_id,work_date,consultant_id,project_id,hours,billable_flag
1,2023-01-02,1,,6.98,0
2,2023-01-03,1,,6.16,0
3,2023-01-04,1,,6.68,0
4,2023-01-05,1,,6.14,0
5,2023-01-06,1,,6.02,0
6,2023-01-09,1,,6.62,0
7,2023-01-10,1,1.0,7.49,1
8,2023-01-11,1,,6.27,0
9,2023-01-12,1,1.0,7.47,1
10,2023-01-13,1,1.0,6.15,1
11,2023-01-16,1,,6.5,0
12,2023-01-17,1,1.0,7.93,1
13,2023-01-18,1,2.0,6.04,1
14,2023-01-19,1,,7.4,0
15,2023-01-20,1,2.0,7.06,1
16,2023-01-23,1,1.0,7.82,1
17,2023-01-24,1,,6.5,0
18,2023-01-25,1,2.0,6.85,1
19,2023-01-26,1,2.0,7.67,1
20,2023-01-27,1,1.0,7.11,1
21,2023-01-30,1,,6.06,0
22,2023-01-31,1,2.0,7.32,1
23,2023-02-01,1,1.0,6.64,1
24,2023-02-02,1,1.0,7.24,1
25,2023-02-03,1,,6.01,0
26,2023-02-06,1,2.0,6.91,1
27,2023-02-07,1,1.0,7.94,1
28,2023-02-08,1,1.0,6.99,1
29,2023-02-09,1,2.0,7.2,1
30,2023-02-10,1,1.0,6.19,1
31,2023-02-12,1,1.0,1.57,1
32,2023-02-13,1,3.0,7.33,1
33,2023-02-14,1,,6.89,0
34,2023-02-15,1,,6.78,0
35,2023-02-16,1,4.0,6.76,1
36,2023-02-17,1,1.0,6.33,1
37,2023-02-20,1,3.0,7.38,1
38,2023-02-21,1,4.0,6.88,1
39,2023-02-22,1,1.0,7.84,1
40,2023-02-23,1,6.0,7.36,1
41,2023-02-24,1,5.0,7.71,1
42,2023-02-27,1,,7.15,0
43,2023-02-28,1,3.0,6.12,1
44,2023-03-01,1,3.0,7.14,1
45,2023-03-02,1,,7.88,0
46,2023-03-03,1,1.0,7.68,1
47,2023-03-06,1,,7.32,0
48,2023-03-07,1,3.0,6.76,1
49,2023-03-08,1,4.0,7.66,1
50,2023-03-09,1,6.0,7.91,1
51,2023-03-10,1,2.0,6.3,1
52,2023-03-13,1,8.0,7.34,1
53,2023-03-14,1,8.0,7.49,1
54,2023-03-15,1,7.0,6.2,1
55,2023-03-16,1,,6.27,0
56,2023-03-17,1,2.0,6.49,1
57,2023-03-20,1,,6.56,0
58,2023-03-21,1,4.0,7.34,1
59,2023-03-22,1,,7.25,0
60,2023-03-23,1,,6.8,0
61,2023-03-24,1,5.0,6.53,1
62,2023-03-27,1,8.0,7.69,1
63,2023-03-28,1,6.0,7.11,1
64,2023-03-29,1,,6.54,0
65,2023-03-30,1,,7.62,0
66,2023-03-31,1,5.0,6.25,1
67,2023-04-03,1,7.0,6.34,1
68,2023-04-04,1,,7.53,0
69,2023-04-05,1,7.0,6.93,1
70,2023-04-06,1,3.0,7.01,1
71,2023-04-07,1,4.0,7.88,1
72,2023-04-10,1,4.0,7.7,1
73,2023-04-11,1,9.0,7.39,1
74,2023-04-12,1,2.0,6.35,1
75,2023-04-13,1,5.0,6.71,1
76,2023-04-14,1,,7.19,0
77,2023-04-17,1,8.0,6.69,1
78,2023-04-18,1,5.0,7.44,1
79,2023-04-19,1,2.0,7.75,1
80,2023-04-20,1,11.0,6.57,1
81,2023-04-21,1,,7.93,0
82,2023-04-24,1,4.0,7.25,1
83,2023-04-25,1,,7.68,0
84,2023-04-26,1,7.0,7.68,1
85,2023-04-27,1,9.0,6.57,1
86,2023-04-28,1,,6.74,0
87,2023-05-01,1,9.0,6.89,1
88,2023-05-02,1,3.0,6.29,1
89,2023-05-03,1,7.0,6.53,1
90,2023-05-04,1,2.0,6.15,1
91,2023-05-05,1,7.0,7.74,1
92,2023-05-08,1,,6.16,0
93,2023-05-09,1,,6.87,0
94,2023-05-10,1,11.0,7.19,1
95,2023-05-11,1,10.0,7.01,1
96,2023-05-12,1,5.0,7.29,1
97,2023-05-15,1,3.0,7.98,1
98,2023-05-16,1,10.0,7.3,1
99,2023-05-17,1,14.0,7.58,1
100,2023-05-18,1,9.0,7.9,1
101,2023-05-19,1,,7.39,0
102,2023-05-22,1,2.0,7.98,1
103,2023-05-23,1,,6.28,0
104,2023-05-24,1,13.0,7.37,1
105,2023-05-25,1,,7.08,0
106,2023-05-26,1,11.0,7.73,1
107,2023-05-29,1,11.0,6.74,1
108,2023-05-30,1,13.0,6.51,1
109,2023-05-31,1,7.0,6.45,1
110,2023-06-01,1,,7.87,0
111,2023-06-02,1,8.0,7.96,1
112,2023-06-05,1,12.0,7.67,1
113,2023-06-06,1,11.0,7.95,1
114,2023-06-07,1,14.0,7.01,1
115,2023-06-08,1,,7.5,0
116,2023-06-09,1,3.0,6.68,1
117,2023-06-12,1,7.0,7.43,1
118,2023-06-13,1,15.0,7.37,1
119,2023-06-14,1,17.0,6.35,1
120,2023-06-15,1,11.0,7.31,1
121,2023-06-16,1,16.0,7.27,1
122,2023-06-19,1,,6.97,0
123,2023-06-20,1,10.0,6.76,1
124,2023-06-21,1,,6.86,0
125,2023-06-22,1,11.0,6.76,1
126,2023-06-23,1,11.0,7.75,1
127,2023-06-26,1,17.0,6.49,1
128,2023-06-27,1,12.0,7.92,1
129,2023-06-28,1,18.0,7.32,1
130,2023-06-29,1,17.0,6.37,1
131,2023-06-30,1,,7.88,0
132,2023-07-03,1,10.0,7.89,1
133,2023-07-04,1,18.0,6.21,1
134,2023-07-05,1,,7.89,0
